Название ноутбука;Описание ноутбука;Цена ноутбука
Ноутбук Lenovo Ideapad 3 15IGL05 Intel Pentium N5030 4GB DDR 500GB SSD Intel UHD Graphics 605 HD DOS серый;"Ноутбук Lenovo Ideapad 3 15IGL05 Intel Pentium N5030 4GB DDR 500GB SSD Intel UHD Graphics 605 HD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: Intel Pentium N5030; Разрешение экрана: 1366х768 HD; Графический контроллер: Intel UHD Graphics 605; Объем оперативной памяти: 4 Gb DDR; Объем накопителя SSD: 500 Gb; Вес: от 1.7 кг";32840 сом-3%31950 сом
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 500GB HDD DOS Black;"Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 500GB HDD DOS BlackОперационная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель HDD 500 GB; DVDRW...";38840 сом
Ноутбук MSI Pulse GL6 Intel Core i7-11800H 16GB DDR 1000GB SSD Nvidia GeForce RTX 3060 6GB QHD DOS серый;"Ноутбук MSI Pulse GL6 Intel Core i7-11800H 16GB DDR 1000GB SSD Nvidia GeForce RTX 3060 6GB QHD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i7-11800H; Разрешение экрана: 2560x1440 QHD; Графический контроллер: Nvidia GeForce RTX 3060; Объем оперативной памяти: 16 GB DDR4; Объем накопителя SSD: 1000 GB; Вес: от 2,25 кг";168180 сом-2%164650 сом
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 1000GB HDD DOS Black;"Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 1000GB HDD DOS BlackОперационная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель HDD 1000 GB; DVDRW...";39010 сом
Ноутбук Acer Aspire A315-57G Intel Core i3-1005G1 4GB DDR4 240GB SSD NVIDIA MX330 FHD DOS Black;"Ноутбук Acer Aspire A315-57G Intel Core i3-1005G1 4GB DDR4 240GB SSD NVIDIA MX330 FHD DOS BlackОперационная система DOS; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Nvidia MX330 2 GB GDDR5; экран 15.6"" TN 1920x1080; оперативная память 4 GB DDR4; накопитель SSD 240 GB; DVDRW...";46330 сом
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 512GB SSD NVidia MX330 2GB FHD DOS серый;"Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 512GB SSD NVidia MX330 2GB FHD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-10210U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia MX330; Объем оперативной памяти: 8 GB DDR4; Объем накопителя SSD: 512 GB; Вес: от 1.85 кг";64390 сом
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 4GB DDR4 128GB SSD DOS Black;"Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 4GB DDR4 128GB SSD DOS BlackОперационная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель SSD 128 GB; DVDRW...";37070 сом
Ноутбук Acer Aspire A315-57G Intel Core i3-1005G1 8GB DDR4 240GB SSD NVIDIA MX330 FHD DOS Black;"Ноутбук Acer Aspire A315-57G Intel Core i3-1005G1 8GB DDR4 240GB SSD NVIDIA MX330 FHD DOS BlackОперационная система DOS; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Nvidia MX330 2 GB GDDR5; экран 15.6"" TN 1920x1080; оперативная память 8 GB DDR4; накопитель SSD 240 GB; DVDRW...";48540 сом
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 128GB SSD DOS Black;"Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 128GB SSD DOS BlackОперационная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель SSD 128 GB; DVDRW...";38840 сом
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 4GB DDR4 256GB SSD DOS Black;"Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 4GB DDR4 256GB SSD DOS BlackОперационная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель SSD 256 GB; DVDRW...";37950 сом
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 256GB SSD DOS Black;"Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 256GB SSD DOS BlackОперационная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель SSD 256 GB; DVDRW...";39730 сом
Ноутбук Acer Travelmate B1 TMB118-M Intel Celeron N4120 4GB DDR4 64GB EMMC DOS Black;"Ноутбук Acer Travelmate B1 TMB118-M Intel Celeron N4120 4GB DDR4 64GB EMMC DOS BlackОперационная система DOS; 2х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 11.6"" TN 1366х768; объем оперативной памяти 4 Гб; накопитель eMMC 64 Гб; вес от 1.52 кг";25130 сом-4%24250 сом
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 512GB SSD DOS Black;"Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 8GB DDR4 512GB SSD DOS BlackОперационная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 8 GB DDR4; накопитель SSD 512 GB; DVDRW...";41480 сом
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 4GB DDR4 240GB SSD Intel HD Graphics HD DOS Black;"Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 4GB DDR4 240GB SSD Intel HD Graphics HD DOS BlackТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-1005G1; Разрешение экрана: 1366x768 HD; Графический контроллер: Intel UHD Graphics; Объем оперативной памяти: 4 Gb DDR4; Объем накопителя SSD: 240 Gb; Вес: от 1.9 кг";38480 сом
Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 4GB DDR4 500GB HDD + 128GB SSD DOS Black;"Ноутбук Lenovo Ideapad S145 AMD Ryzen 3 3200U 4GB DDR4 500GB HDD + 128GB SSD DOS BlackОперационная система DOS; процессор AMD Ryzen 3 3200U (2/4) 2600 - 3500 MHz; видеоадаптер Radeon Vega; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель HDD 500GB + SSD...";38840 сом
